Days	ELS	KPX	ZRE	ZTSERG	BRS	ORZEL	ENERGOPLD	STALPROFIL	KROSNO	LZPS	GRAJEWO	BIOTON	GTC	ESPEBEPE	INVESTCON	TVN	MEDIATEL	MASTERS	CERSANIT	HBPOLSKA
15	17,15	19,4	0,86	0,53	21	0,35	7,2	6,7	10,4	3	26,5	1,88	27	4,65	4,05	28	20,25	0,29	14,35	9,11
16	17,59	19,2	0,84	0,49	21,2	0,33	7,35	6,35	10,55	3,04	26,5	1,92	26,6	4,7	4	27,5	20,65	0,29	14,3	9
17	17,9	19,4	0,89	0,51	21,1	0,34	7,37	6,35	10,4	2,96	26,5	1,96	28	4,7	4	26,49	20,4	0,28	14,35	8,9
18	18,1	19,95	0,89	0,52	21,1	0,33	8,75	6,35	10,5	2,88	26,9	2,04	27,41	4,7	4,03	25	20	0,28	14,15	9
19	17,21	20,5	0,84	0,52	20,9	0,3	8,62	6,1	10,55	2,75	27,2	2,03	27,8	4,59	4	25,7	20,6	0,28	13,8	9
20	17,05	19,9	0,89	0,52	20,4	0,32	8,54	7	10,6	2,8	27,3	2,05	27,2	4,6	3,96	25,8	20	0,28	14,15	9,2
21	17,5	19,2	0,95	0,55	20,9	0,29	8,7	7,15	10,55	2,75	27,6	2,07	27,3	4,6	3,95	26,5	20,2	0,27	13,85	9,08
22	17,35	19,1	0,87	0,55	20,9	0,28	8,83	7,55	10,65	2,95	27,1	2,04	27,7	4,59	3,92	26,9	20,87	0,27	14	8,96
23	17,23	19,04	0,87	0,53	20,6	0,27	8,88	7,9	10,6	2,98	28,2	2,04	28,25	4,55	3,92	27,98	22,7	0,26	13,85	9,04
24	17,34	19,01	0,9	0,56	20,5	0,28	8,72	8,05	9,5	2,89	28,7	2,07	28,4	4,6	3,76	27,6	22,65	0,27	13,8	8,6
25	17,2	18,95	0,85	0,54	20,4	0,28	8,8	7,8	9,6	2,93	29,5	2,05	28,34	4,75	3,56	26,25	22,4	0,27	13,65	8,9
26	17,07	18,9	0,89	0,54	20,5	0,27	8,81	7,5	9,7	2,98	32	1,98	28,5	4,74	3,43	26,49	21,7	0,26	13,8	8,6
27	17,1	18,6	0,91	0,54	20,4	0,26	8,57	7,5	9,65	2,95	31,5	1,97	29,2	4,74	3,15	26,5	21,72	0,27	14,2	8,5
28	16,97	18,36	0,9	0,54	20,3	0,24	8,34	7,4	9,7	2,97	31,4	1,9	28,98	4,69	3,3	25,85	21,49	0,27	14,35	8,75
29	16,8	18,7	0,93	0,53	20,3	0,26	7,96	7,45	9,65	2,93	30,9	1,94	29,1	4,6	3,69	25,7	23,9	0,27	14,3	8,85
30	16,5	19,21	0,93	0,55	20,1	0,27	8	7,5	9,6	2,96	31,1	1,93	29,6	4,45	2,28	24,77	23	0,26	14	8,89
31	15,8	19,74	0,87	0,54	20	0,25	7,83	7,3	9,25	2,92	31,4	1,95	29,1	4,35	2,1	24,47	22,9	0,26	14,1	8,7
